Found 3106 unique phrases
Translating ar...
ar: 14 done, 3092 remaining (3 workers)
  ar: 34/3106
  ar: 54/3106
  ar: 73/3106
  ar: 93/3106
  ar: 113/3106
  ar: 133/3106
  ar: 153/3106
  ar: 173/3106
  ar: 193/3106
  ar: 213/3106
  ar: 233/3106
  ar: 253/3106
  ar: 273/3106
  ar: 293/3106
  ar: 313/3106
  ar: 333/3106
  ar: 353/3106
  ar: 373/3106
  ar: 393/3106
  ar: 413/3106
  ar: 433/3106
  ar: 453/3106
  ar: 473/3106
  ar: 493/3106
  ar: 513/3106
  ar: 533/3106
  ar: 553/3106
  ar: 573/3106
  ar: 593/3106
  ar: 613/3106
  ar: 633/3106
  ar: 653/3106
  ar: 673/3106
  ar: 693/3106
  ar: 713/3106
  ar: 733/3106
  ar: 753/3106
  ar: 773/3106
  ar: 793/3106
  ar: 813/3106
  ar: 833/3106
  ar: 853/3106
  ar: 873/3106
  ar: 893/3106
  ar: 913/3106
  ar: 933/3106
  ar: 953/3106
  ar: 973/3106
  ar: 993/3106
  ar: 1013/3106
  ar: 1033/3106
  ar: 1053/3106
  ar: 1073/3106
  ar: 1093/3106
  ar: 1113/3106
  ar: 1133/3106
  ar: 1153/3106
  ar: 1173/3106
  ar: 1193/3106
  ar: 1213/3106
  ar: 1233/3106
  ar: 1253/3106
  ar: 1273/3106
  ar: 1292/3106
  ar: 1312/3106
  ar: 1332/3106
  ar: 1352/3106
  ar: 1372/3106
  ar: 1392/3106
  ar: 1412/3106
  ar: 1432/3106
  ar: 1452/3106
  ar: 1472/3106
  ar: 1492/3106
  ar: 1512/3106
  ar: 1532/3106
  ar: 1552/3106
  ar: 1572/3106
  ar: 1592/3106
  ar: 1612/3106
  ar: 1632/3106
  ar: 1652/3106
  ar: 1672/3106
  ar: 1692/3106
  ar: 1712/3106
  ar: 1732/3106
  ar: 1752/3106
  ar: 1772/3106
  ar: 1792/3106
  ar: 1812/3106
  ar: 1832/3106
  ar: 1852/3106
  ar: 1872/3106
  ar: 1892/3106
  ar: 1912/3106
  ar: 1932/3106
  ar: 1952/3106
  ar: 1972/3106
  ar: 1992/3106
  ar: 2012/3106
  ar: 2032/3106
  ar: 2051/3106
  ar: 2071/3106
  ar: 2091/3106
  ar: 2111/3106
  ar: 2131/3106
  ar: 2151/3106
  ar: 2171/3106
  ar: 2191/3106
  ar: 2211/3106
  ar: 2231/3106
  ar: 2251/3106
  ar: 2271/3106
  ar: 2291/3106
  ar: 2311/3106
  ar: 2331/3106
  ar: 2351/3106
  ar: 2371/3106
  ar: 2391/3106
  ar: 2411/3106
  ar: 2430/3106
  ar: 2450/3106
  ar: 2470/3106
  ar: 2490/3106
  ar: 2510/3106
  ar: 2530/3106
  ar: 2550/3106
  ar: 2570/3106
  ar: 2590/3106
  ar: 2610/3106
  ar: 2629/3106
  ar: 2649/3106
  ar: 2669/3106
  ar: 2689/3106
  ar: 2709/3106
  ar: 2729/3106
  ar: 2749/3106
  ar: 2769/3106
  ar: 2789/3106
  ar: 2809/3106
  ar: 2829/3106
  ar: 2849/3106
  ar: 2869/3106
  ar: 2889/3106
  ar: 2909/3106
  ar: 2929/3106
  ar: 2948/3106
  ar: 2967/3106
  ar: 2987/3106
  ar: 3007/3106
  ar: 3027/3106
  ar: 3046/3106
  ar: 3066/3106
  ar: 3084/3106
  ar: 3096/3106
Done ar: 3096/3106
