Found 3106 unique phrases
Translating fr...
fr: 0 done, 3106 remaining (3 workers)
  fr: 16/3106
  fr: 35/3106
  fr: 54/3106
  fr: 73/3106
  fr: 91/3106
  fr: 110/3106
  fr: 129/3106
  fr: 149/3106
  fr: 169/3106
  fr: 189/3106
  fr: 209/3106
  fr: 229/3106
  fr: 249/3106
  fr: 268/3106
  fr: 287/3106
  fr: 307/3106
  fr: 326/3106
  fr: 346/3106
  fr: 366/3106
  fr: 386/3106
  fr: 405/3106
  fr: 424/3106
  fr: 443/3106
  fr: 463/3106
  fr: 482/3106
  fr: 501/3106
  fr: 520/3106
  fr: 540/3106
  fr: 560/3106
  fr: 580/3106
  fr: 598/3106
  fr: 617/3106
  fr: 637/3106
  fr: 657/3106
  fr: 677/3106
  fr: 697/3106
  fr: 717/3106
  fr: 737/3106
  fr: 754/3106
  fr: 774/3106
  fr: 794/3106
  fr: 814/3106
  fr: 834/3106
  fr: 854/3106
  fr: 872/3106
  fr: 889/3106
  fr: 909/3106
  fr: 929/3106
  fr: 949/3106
  fr: 969/3106
  fr: 989/3106
  fr: 1009/3106
  fr: 1028/3106
  fr: 1048/3106
  fr: 1068/3106
  fr: 1088/3106
  fr: 1108/3106
  fr: 1128/3106
  fr: 1148/3106
  fr: 1168/3106
  fr: 1188/3106
  fr: 1208/3106
  fr: 1227/3106
  fr: 1246/3106
  fr: 1265/3106
  fr: 1282/3106
  fr: 1302/3106
  fr: 1322/3106
  fr: 1342/3106
  fr: 1361/3106
  fr: 1379/3106
  fr: 1398/3106
  fr: 1417/3106
  fr: 1437/3106
  fr: 1457/3106
  fr: 1476/3106
  fr: 1495/3106
  fr: 1515/3106
  fr: 1535/3106
  fr: 1555/3106
  fr: 1575/3106
  fr: 1595/3106
  fr: 1612/3106
  fr: 1632/3106
  fr: 1652/3106
  fr: 1671/3106
  fr: 1688/3106
  fr: 1705/3106
  fr: 1725/3106
  fr: 1745/3106
  fr: 1763/3106
  fr: 1782/3106
  fr: 1802/3106
  fr: 1822/3106
  fr: 1842/3106
  fr: 1858/3106
  fr: 1878/3106
  fr: 1898/3106
  fr: 1916/3106
  fr: 1935/3106
  fr: 1955/3106
  fr: 1974/3106
  fr: 1991/3106
  fr: 2011/3106
  fr: 2031/3106
  fr: 2051/3106
  fr: 2071/3106
  fr: 2091/3106
  fr: 2111/3106
  fr: 2130/3106
  fr: 2149/3106
  fr: 2169/3106
  fr: 2186/3106
  fr: 2204/3106
  fr: 2224/3106
  fr: 2243/3106
  fr: 2263/3106
  fr: 2283/3106
  fr: 2303/3106
  fr: 2323/3106
  fr: 2341/3106
  fr: 2361/3106
  fr: 2379/3106
  fr: 2399/3106
  fr: 2419/3106
  fr: 2439/3106
  fr: 2457/3106
  fr: 2475/3106
  fr: 2494/3106
  fr: 2513/3106
  fr: 2530/3106
  fr: 2550/3106
  fr: 2569/3106
  fr: 2589/3106
  fr: 2609/3106
  fr: 2629/3106
  fr: 2649/3106
  fr: 2669/3106
  fr: 2688/3106
  fr: 2708/3106
  fr: 2728/3106
  fr: 2748/3106
  fr: 2768/3106
  fr: 2788/3106
  fr: 2807/3106
  fr: 2826/3106
  fr: 2844/3106
  fr: 2863/3106
  fr: 2882/3106
  fr: 2902/3106
  fr: 2921/3106
  fr: 2940/3106
  fr: 2959/3106
  fr: 2978/3106
  fr: 2996/3106
