Found 3106 unique phrases
Translating hi...
hi: 733 done, 2373 remaining (3 workers)
  hi: 753/3106
  hi: 773/3106
  hi: 793/3106
  hi: 813/3106
  hi: 833/3106
  hi: 853/3106
  hi: 873/3106
  hi: 893/3106
  hi: 913/3106
  hi: 933/3106
  hi: 953/3106
  hi: 973/3106
  hi: 993/3106
  hi: 1013/3106
  hi: 1033/3106
  hi: 1053/3106
  hi: 1073/3106
  hi: 1093/3106
  hi: 1113/3106
  hi: 1133/3106
  hi: 1153/3106
  hi: 1173/3106
  hi: 1193/3106
  hi: 1213/3106
  hi: 1233/3106
  hi: 1253/3106
  hi: 1273/3106
  hi: 1293/3106
  hi: 1313/3106
  hi: 1332/3106
  hi: 1352/3106
  hi: 1372/3106
  hi: 1392/3106
  hi: 1412/3106
  hi: 1432/3106
  hi: 1452/3106
  hi: 1472/3106
  hi: 1492/3106
  hi: 1512/3106
  hi: 1532/3106
  hi: 1552/3106
  hi: 1572/3106
  hi: 1592/3106
  hi: 1612/3106
  hi: 1632/3106
  hi: 1652/3106
  hi: 1672/3106
  hi: 1692/3106
  hi: 1712/3106
  hi: 1732/3106
  hi: 1752/3106
  hi: 1772/3106
  hi: 1792/3106
  hi: 1812/3106
  hi: 1832/3106
  hi: 1852/3106
  hi: 1872/3106
  hi: 1892/3106
  hi: 1912/3106
  hi: 1932/3106
  hi: 1952/3106
  hi: 1972/3106
  hi: 1992/3106
  hi: 2012/3106
  hi: 2032/3106
  hi: 2051/3106
  hi: 2071/3106
  hi: 2091/3106
  hi: 2111/3106
  hi: 2131/3106
  hi: 2151/3106
  hi: 2171/3106
  hi: 2191/3106
  hi: 2211/3106
  hi: 2231/3106
  hi: 2251/3106
  hi: 2271/3106
  hi: 2291/3106
  hi: 2311/3106
  hi: 2331/3106
  hi: 2351/3106
  hi: 2371/3106
  hi: 2391/3106
  hi: 2409/3106
  hi: 2429/3106
  hi: 2449/3106
  hi: 2469/3106
  hi: 2489/3106
  hi: 2509/3106
  hi: 2529/3106
  hi: 2549/3106
  hi: 2569/3106
  hi: 2588/3106
  hi: 2608/3106
  hi: 2627/3106
  hi: 2647/3106
  hi: 2667/3106
  hi: 2687/3106
  hi: 2707/3106
  hi: 2727/3106
  hi: 2747/3106
  hi: 2767/3106
  hi: 2787/3106
  hi: 2807/3106
  hi: 2827/3106
  hi: 2847/3106
  hi: 2867/3106
  hi: 2887/3106
  hi: 2907/3106
  hi: 2927/3106
  hi: 2947/3106
  hi: 2967/3106
  hi: 2987/3106
  hi: 3007/3106
  hi: 3027/3106
  hi: 3046/3106
  hi: 3066/3106
  hi: 3085/3106
  hi: 3098/3106
Done hi: 3098/3106
