Found 3106 unique phrases
Translating ru...
ru: 0 done, 3106 remaining (3 workers)
  ru: 20/3106
  ru: 39/3106
  ru: 59/3106
  ru: 78/3106
  ru: 98/3106
  ru: 118/3106
  ru: 138/3106
  ru: 158/3106
  ru: 178/3106
  ru: 198/3106
  ru: 218/3106
  ru: 238/3106
  ru: 258/3106
  ru: 278/3106
  ru: 298/3106
  ru: 318/3106
  ru: 338/3106
  ru: 358/3106
  ru: 378/3106
  ru: 398/3106
  ru: 417/3106
  ru: 437/3106
  ru: 457/3106
  ru: 477/3106
  ru: 497/3106
  ru: 517/3106
  ru: 536/3106
  ru: 556/3106
  ru: 576/3106
  ru: 596/3106
  ru: 615/3106
  ru: 635/3106
  ru: 655/3106
  ru: 675/3106
  ru: 695/3106
  ru: 715/3106
  ru: 735/3106
  ru: 755/3106
  ru: 775/3106
  ru: 795/3106
  ru: 815/3106
  ru: 835/3106
  ru: 855/3106
  ru: 875/3106
  ru: 895/3106
  ru: 915/3106
  ru: 933/3106
  ru: 953/3106
  ru: 973/3106
  ru: 993/3106
  ru: 1013/3106
  ru: 1033/3106
  ru: 1053/3106
  ru: 1073/3106
  ru: 1093/3106
  ru: 1113/3106
  ru: 1133/3106
  ru: 1153/3106
  ru: 1173/3106
  ru: 1193/3106
  ru: 1213/3106
  ru: 1233/3106
  ru: 1253/3106
  ru: 1273/3106
  ru: 1293/3106
  ru: 1313/3106
  ru: 1333/3106
  ru: 1353/3106
  ru: 1373/3106
  ru: 1393/3106
  ru: 1413/3106
  ru: 1433/3106
  ru: 1453/3106
  ru: 1473/3106
  ru: 1493/3106
  ru: 1513/3106
  ru: 1533/3106
  ru: 1553/3106
  ru: 1573/3106
  ru: 1593/3106
  ru: 1613/3106
  ru: 1633/3106
  ru: 1653/3106
  ru: 1673/3106
  ru: 1693/3106
  ru: 1713/3106
  ru: 1733/3106
  ru: 1753/3106
  ru: 1773/3106
  ru: 1793/3106
  ru: 1812/3106
  ru: 1832/3106
  ru: 1852/3106
  ru: 1872/3106
  ru: 1892/3106
  ru: 1912/3106
  ru: 1932/3106
  ru: 1952/3106
  ru: 1972/3106
  ru: 1992/3106
  ru: 2011/3106
  ru: 2031/3106
  ru: 2050/3106
  ru: 2070/3106
  ru: 2090/3106
  ru: 2110/3106
  ru: 2130/3106
  ru: 2150/3106
  ru: 2170/3106
  ru: 2190/3106
  ru: 2210/3106
  ru: 2230/3106
  ru: 2250/3106
  ru: 2270/3106
  ru: 2290/3106
  ru: 2310/3106
  ru: 2330/3106
  ru: 2350/3106
  ru: 2370/3106
  ru: 2390/3106
  ru: 2409/3106
  ru: 2429/3106
  ru: 2449/3106
  ru: 2469/3106
  ru: 2489/3106
  ru: 2509/3106
  ru: 2529/3106
  ru: 2549/3106
  ru: 2569/3106
  ru: 2589/3106
  ru: 2609/3106
  ru: 2628/3106
  ru: 2648/3106
  ru: 2668/3106
  ru: 2688/3106
  ru: 2708/3106
  ru: 2728/3106
  ru: 2748/3106
  ru: 2768/3106
  ru: 2788/3106
  ru: 2808/3106
  ru: 2828/3106
  ru: 2848/3106
  ru: 2868/3106
  ru: 2888/3106
  ru: 2908/3106
  ru: 2928/3106
  ru: 2948/3106
  ru: 2968/3106
  ru: 2988/3106
  ru: 3008/3106
  ru: 3028/3106
  ru: 3048/3106
  ru: 3067/3106
  ru: 3087/3106
  ru: 3093/3106
Done ru: 3093/3106
