Found 3106 unique phrases
Translating tr...
tr: 0 done, 3106 remaining (3 workers)
  tr: 20/3106
  tr: 40/3106
  tr: 60/3106
  tr: 79/3106
  tr: 99/3106
  tr: 117/3106
  tr: 137/3106
  tr: 157/3106
  tr: 177/3106
  tr: 197/3106
  tr: 217/3106
  tr: 237/3106
  tr: 257/3106
  tr: 277/3106
  tr: 296/3106
  tr: 316/3106
  tr: 335/3106
  tr: 355/3106
  tr: 375/3106
  tr: 392/3106
  tr: 412/3106
  tr: 431/3106
  tr: 451/3106
  tr: 471/3106
  tr: 491/3106
  tr: 510/3106
  tr: 530/3106
  tr: 550/3106
  tr: 570/3106
  tr: 590/3106
  tr: 610/3106
  tr: 630/3106
  tr: 650/3106
  tr: 670/3106
  tr: 690/3106
  tr: 710/3106
  tr: 730/3106
  tr: 750/3106
  tr: 770/3106
  tr: 790/3106
  tr: 810/3106
  tr: 830/3106
  tr: 850/3106
  tr: 870/3106
  tr: 890/3106
  tr: 910/3106
  tr: 930/3106
  tr: 950/3106
  tr: 970/3106
  tr: 990/3106
  tr: 1010/3106
  tr: 1030/3106
  tr: 1049/3106
  tr: 1069/3106
  tr: 1089/3106
  tr: 1109/3106
  tr: 1129/3106
  tr: 1149/3106
  tr: 1169/3106
  tr: 1189/3106
  tr: 1209/3106
  tr: 1229/3106
  tr: 1249/3106
  tr: 1269/3106
  tr: 1288/3106
  tr: 1307/3106
  tr: 1327/3106
  tr: 1347/3106
  tr: 1367/3106
  tr: 1387/3106
  tr: 1407/3106
  tr: 1427/3106
  tr: 1447/3106
  tr: 1466/3106
  tr: 1486/3106
  tr: 1506/3106
  tr: 1526/3106
  tr: 1546/3106
  tr: 1566/3106
  tr: 1586/3106
  tr: 1606/3106
  tr: 1626/3106
  tr: 1644/3106
  tr: 1664/3106
  tr: 1684/3106
  tr: 1703/3106
  tr: 1723/3106
  tr: 1743/3106
  tr: 1762/3106
  tr: 1782/3106
  tr: 1801/3106
  tr: 1820/3106
  tr: 1840/3106
  tr: 1860/3106
  tr: 1879/3106
  tr: 1898/3106
  tr: 1918/3106
  tr: 1937/3106
  tr: 1957/3106
  tr: 1977/3106
  tr: 1997/3106
  tr: 2017/3106
  tr: 2036/3106
  tr: 2055/3106
  tr: 2075/3106
  tr: 2095/3106
  tr: 2115/3106
  tr: 2135/3106
  tr: 2155/3106
  tr: 2175/3106
  tr: 2195/3106
  tr: 2215/3106
  tr: 2235/3106
  tr: 2255/3106
  tr: 2274/3106
  tr: 2294/3106
  tr: 2314/3106
  tr: 2334/3106
  tr: 2354/3106
  tr: 2374/3106
  tr: 2392/3106
  tr: 2412/3106
  tr: 2432/3106
  tr: 2452/3106
  tr: 2472/3106
  tr: 2492/3106
  tr: 2511/3106
  tr: 2531/3106
  tr: 2551/3106
  tr: 2570/3106
  tr: 2589/3106
  tr: 2609/3106
  tr: 2628/3106
  tr: 2648/3106
  tr: 2668/3106
  tr: 2688/3106
  tr: 2708/3106
  tr: 2728/3106
  tr: 2748/3106
  tr: 2768/3106
  tr: 2788/3106
  tr: 2808/3106
  tr: 2828/3106
  tr: 2848/3106
  tr: 2867/3106
  tr: 2887/3106
  tr: 2905/3106
  tr: 2923/3106
  tr: 2943/3106
  tr: 2963/3106
  tr: 2982/3106
  tr: 3000/3106
  tr: 3019/3106
  tr: 3038/3106
  tr: 3056/3106
  tr: 3062/3106
Done tr: 3062/3106
